Sample,Condition,Electrode,Epoch,Theta_Power
1,3-back,F7,4,2.1124530191390746e-10
1,3-back,F7,5,1.5890461332918956e-10
1,3-back,F7,6,2.2078019309197125e-10
1,3-back,F7,7,2.503188324700508e-10
1,3-back,F7,8,2.861724618115202e-11
1,3-back,F7,9,1.015724932925393e-10
1,3-back,F7,10,2.8080887644953883e-10
1,3-back,F7,11,4.39586431517295e-11
1,3-back,F7,12,1.3335190968179087e-10
1,3-back,F7,13,2.5956920888153643e-10
1,3-back,F7,14,1.731793964745401e-10
1,3-back,F7,15,1.2739678607110273e-10
1,3-back,F7,16,5.349826056152014e-11
1,3-back,F7,17,1.0106821564904982e-10
1,3-back,F7,18,2.8721810000716338e-11
1,3-back,F7,19,2.2024715431754697e-10
1,3-back,F7,20,7.854921766069437e-11
1,3-back,F7,21,3.5984918960896327e-11
1,3-back,F7,22,5.2380107200679013e-11
1,3-back,F7,23,2.808890279032889e-10
1,3-back,F7,24,2.961960691220699e-11
1,3-back,F7,25,1.5310099563282712e-11
1,3-back,F7,26,5.222370277774975e-11
1,3-back,F7,27,1.7904215767725318e-10
1,3-back,F7,28,1.439025603410129e-10
1,3-back,F7,29,5.095389373835697e-11
